"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43363","@smoke footers exist on product page","chromium","2026-06-29","broken","2026-06-29","","loginpagefix.spec.ts","",""
"","40225","@smoke home page title test","chromium","2026-06-29","broken","2026-06-29","","homepagefix.spec.ts","",""
"","40514","@smoke login page title test","chromium","2026-06-29","broken","2026-06-29","","loginpagefix.spec.ts","",""
"","43389","@smoke footers exist on product page","chromium","2026-06-29","broken","2026-06-29","","productpage.spec.ts","",""
"","44911","@smoke logout link exist test","chromium","2026-06-29","broken","2026-06-29","","homepagefix.spec.ts","",""
"","45046","@smoke user is able to login to app test","chromium","2026-06-29","broken","2026-06-29","","loginpagefix.spec.ts","",""
"","43041","@smoke intercept and log requests","chromium","2026-06-29","broken","2026-06-29","","api/intercept.spec.ts","",""
"","42962","@smoke footers exist on product page","chromium","2026-06-29","broken","2026-06-29","","search.spec.ts","",""
"","45065","@smoke comp logo exists on product page","chromium","2026-06-29","broken","2026-06-29","","loginpagefix.spec.ts","",""
"","30009","@smoke GET -- get all users","chromium","2026-06-29","broken","2026-06-29","","api/users.api.schema.spec.ts","",""
"","30010","@smoke GET -- get a user","chromium","2026-06-29","broken","2026-06-29","","api/users.api.schema.spec.ts","",""
"","43380","@smoke comp logo exists on product page","chromium","2026-06-29","broken","2026-06-29","","search.spec.ts","",""
"","40187","@smoke comp logo exists on product page","chromium","2026-06-29","broken","2026-06-29","","productpage.spec.ts","",""
