"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3077","home page hedder exist test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","2246","login page title","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","4497","verify user is able to land in product page- iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","3547","verify search products macbook - MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","324","Create a new user Raja @api","chromium","2026-06-29","passed","2026-06-29","","api/user.api.spec.ts","",""
"","3516","verify user is able to land in product page- null","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","3177","valid login test @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3663","search product test","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2705","login with wrong creadentials json username: password: qwe @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","2268","login page title @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3607","verify search products airtel - null","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2280","forget pwd link exist test @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","1941","Delete User @smoke @api","chromium","2026-06-29","passed","2026-06-29","","api/user_api_E2E.spec.ts","",""
"","3429","home page hedder exist test @smoke","chromium","2026-06-29","passed","2026-06-29","","homepage_fictures.spec.ts","",""
"","3334","home page title test","chromium","2026-06-29","passed","2026-06-29","","homepage_fictures.spec.ts","",""
"","2809","login with wrong creadentials json username: Tirth@abc.com password: qwe @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","3039","login with wrong creadentials username: pwtestbatch@open.com password:","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","349","get all users@smoke @api","chromium","2026-06-29","passed","2026-06-29","","api/user.api.spec.ts","",""
"","2746","login with wrong creadentials username: invalid@open.com password: wrong123","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","1548","Create users @smoke @api","chromium","2026-06-29","passed","2026-06-29","","api/user_api_E2E.spec.ts","",""
"","321","Create a new user Ram @api","chromium","2026-06-29","passed","2026-06-29","","api/user.api.spec.ts","",""
"","3794","login to app using wrong creadentials","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","4481","verify user is able to land in product page- MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2815","login with wrong creadentials json username: Tirth password: @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","343","Create a new user Mohan @api","chromium","2026-06-29","passed","2026-06-29","","api/user.api.spec.ts","",""
"","2217","forget pwd link exist test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3504","verify search products imac - iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2863","login with wrong creadentials username: password: pw1234","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","3172","valid login test","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","4320","verify user is able to land in product page- MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","1964","Update User","chromium","2026-06-29","passed","2026-06-29","","api/user_api_E2E.spec.ts","",""
"","3001","home page title test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","3617","verify search products macbook - MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
