"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3153","home page title test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","3039","valid login test @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2441","login page title @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","1004","Create users @smoke @api","chromium","2026-06-29","passed","2026-06-29","","api/user_api_E2E.spec.ts","",""
"","4756","verify user is able to land in product page- MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","4570","verify user is able to land in product page- MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2377","forget pwd link exist test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3694","verify search products macbook - MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2999","login with wrong creadentials username: invalid@open.com password: wrong123","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","1397","Delete User @smoke @api","chromium","2026-06-29","passed","2026-06-29","","api/user_api_E2E.spec.ts","",""
"","2936","login with wrong creadentials json username: Tirth password: @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","2439","forget pwd link exist test @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","2890","login with wrong creadentials json username: password: qwe @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","3723","verify user is able to land in product page- null","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","334","get all users@smoke @api","chromium","2026-06-29","passed","2026-06-29","","api/user.api.spec.ts","",""
"","394","Create a new user Raja @api","chromium","2026-06-29","passed","2026-06-29","","api/user.api.spec.ts","",""
"","4174","login to app using wrong creadentials","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","3489","home page hedder exist test @smoke","chromium","2026-06-29","passed","2026-06-29","","homepage_fictures.spec.ts","",""
"","3255","home page hedder exist test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","2916","login with wrong creadentials username: password: pw1234","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","3072","login with wrong creadentials username: pwtestbatch@open.com password:","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","2845","login with wrong creadentials json username: Tirth@abc.com password: qwe @smoke","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","3709","verify search products imac - iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","3689","search product test","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","3711","verify search products macbook - MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","3317","valid login test","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","1351","Update User","chromium","2026-06-29","passed","2026-06-29","","api/user_api_E2E.spec.ts","",""
"","373","Create a new user Ram @api","chromium","2026-06-29","passed","2026-06-29","","api/user.api.spec.ts","",""
"","342","Create a new user Mohan @api","chromium","2026-06-29","passed","2026-06-29","","api/user.api.spec.ts","",""
"","2416","login page title","chromium","2026-06-29","passed","2026-06-29","","loginpage_fixture.spec.ts","",""
"","3359","home page title test","chromium","2026-06-29","passed","2026-06-29","","homepage_fictures.spec.ts","",""
"","4605","verify user is able to land in product page- iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","3665","verify search products airtel - null","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
