"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1843","@smoke login page title test","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
"","2513","@smoke intercept and log requests","chromium","2026-06-29","passed","2026-06-29","","api/intercept.spec.ts","",""
"","1921","@smoke comp logo exists on product page","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
"","2470","@smoke footers exist on product page","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2376","@smoke footers exist on product page","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","2670","@smoke home page title test","chromium","2026-06-29","passed","2026-06-29","","homepagefix.spec.ts","",""
"","1180","@smoke GET -- get all users","chromium","2026-06-29","failed","2026-06-29","","api/users.api.schema.spec.ts","",""
"","2594","@smoke user is able to login to app test","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
"","1173","@smoke GET -- get a user","chromium","2026-06-29","failed","2026-06-29","","api/users.api.schema.spec.ts","",""
"","1924","@smoke footers exist on product page","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
"","2625","@smoke logout link exist test","chromium","2026-06-29","passed","2026-06-29","","homepagefix.spec.ts","",""
"","2690","@smoke comp logo exists on product page","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","2586","@smoke comp logo exists on product page","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
